sample	r1	r2
1_PVD_1R	00_RAWDATA/metatranscriptomes/26R_001_S1_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/26R_001_S1_L008_R2_001.fastq
1_PVD_2R	00_RAWDATA/metatranscriptomes/27R_002_S2_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/27R_002_S2_L008_R2_001.fastq
1_PVD_3R	00_RAWDATA/metatranscriptomes/28R_003_S3_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/28R_003_S3_L008_R2_001.fastq
1_PVD_4R	00_RAWDATA/metatranscriptomes/29R_004_S4_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/29R_004_S4_L008_R2_001.fastq
1_PVD_5R	00_RAWDATA/metatranscriptomes/30R_005_S5_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/30R_005_S5_L008_R2_001.fastq
2_GB_1R	00_RAWDATA/metatranscriptomes/31R_006_S6_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/31R_006_S6_L008_R2_001.fastq
2_GB_2R	00_RAWDATA/metatranscriptomes/32R_007_S7_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/32R_007_S7_L008_R2_001.fastq
2_GB_3R	00_RAWDATA/metatranscriptomes/33R_008_S8_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/33R_008_S8_L008_R2_001.fastq
2_GB_4R	00_RAWDATA/metatranscriptomes/34R_009_S9_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/34R_009_S9_L008_R2_001.fastq
2_GB_5R	00_RAWDATA/metatranscriptomes/35R_010_S10_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/35R_010_S10_L008_R2_001.fastq
3_BIS_1R	00_RAWDATA/metatranscriptomes/36R_011_S11_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/36R_011_S11_L008_R2_001.fastq
3_BIS_2R	00_RAWDATA/metatranscriptomes/37R_012_S12_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/37R_012_S12_L008_R2_001.fastq
3_BIS_3R	00_RAWDATA/metatranscriptomes/38R_013_S13_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/38R_013_S13_L008_R2_001.fastq
3_BIS_4R	00_RAWDATA/metatranscriptomes/39R_014_S14_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/39R_014_S14_L008_R2_001.fastq
3_BIS_5R	00_RAWDATA/metatranscriptomes/40R_015_S15_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/40R_015_S15_L008_R2_001.fastq
4_NAR_1R	00_RAWDATA/metatranscriptomes/41R_016_S16_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/41R_016_S16_L008_R2_001.fastq
4_NAR_2R	00_RAWDATA/metatranscriptomes/42R_018_S17_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/42R_018_S17_L008_R2_001.fastq
4_NAR_3R	00_RAWDATA/metatranscriptomes/43R_019_S18_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/43R_019_S18_L008_R2_001.fastq
4_NAR_4R	00_RAWDATA/metatranscriptomes/44R_020_S19_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/44R_020_S19_L008_R2_001.fastq
4_NAR_5R	00_RAWDATA/metatranscriptomes/45R_021_S20_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/45R_021_S20_L008_R2_001.fastq
5_NIN_1R	00_RAWDATA/metatranscriptomes/46R_022_S21_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/46R_022_S21_L008_R2_001.fastq
5_NIN_2R	00_RAWDATA/metatranscriptomes/47R_023_S22_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/47R_023_S22_L008_R2_001.fastq
5_NIN_3R	00_RAWDATA/metatranscriptomes/48R_024_S23_L008_R1_001.fastq	00_RAWDATA/metatranscriptomes/48R_024_S23_L008_R2_001.fastq
5_NIN_4R	00_RAWDATA/metatranscriptomes/49R_001_S24_L007_R1_001.fastq	00_RAWDATA/metatranscriptomes/49R_001_S24_L007_R2_001.fastq
5_NIN_5R	00_RAWDATA/metatranscriptomes/50R_002_S25_L006_R1_001.fastq	00_RAWDATA/metatranscriptomes/50R_002_S25_L006_R2_001.fastq
